Language,Speech,Label,Audio_path
English,Get me hypertension medicine,ACE Inhibitor,0001.mp3
Cantonese,攞高血壓藥畀我,ACE Inhibitor,0002.mp3
Cantonese,幫我拎高血壓藥,ACE Inhibitor,0003.mp3
English,Where is the medicine for high blood pressure,ACE Inhibitor,0004.mp3
Cantonese,高血壓藥放邊,ACE Inhibitor,0005.mp3
English,I need something for hypertension,ACE Inhibitor,0006.mp3
Cantonese,攞血管緊張素轉換酶抑制藥畀我,ACE Inhibitor,0007.mp3
English,Fetch Metformin for diabetes,Metformin,0008.mp3
Cantonese,俾糖尿病藥我,Metformin,0009.mp3
Cantonese,邊度有甲福明,Metformin,0010.mp3
English,Bring me pills for diabetes,Metformin,0011.mp3
Cantonese,我要糖尿病藥,Metformin,0012.mp3
English,Where can I find diabetes medicine,Metformin,0013.mp3
Cantonese,糖尿病藥喺邊,Metformin,0014.mp3
English,Give me Atorvastatin for my heart disease,Atorvastatin,0015.mp3
Cantonese,攞阿伐他汀畀我,Atorvastatin,0016.mp3
Cantonese,幫我搵心臟病藥,Atorvastatin,0017.mp3
English,Can you find me medicine for CAD,Atorvastatin,0018.mp3
Cantonese,冠心病藥喺邊,Atorvastatin,0019.mp3
English,I need something for coronary heart disease,Atorvastatin,0020.mp3
Cantonese,攞冠脈病藥畀我,Atorvastatin,0021.mp3
English,Fetch Amitriptyline for depression,Amitriptyline,0022.mp3
Cantonese,俾阿米替林我,Amitriptyline,0023.mp3
Cantonese,我要抗抑鬱藥,Amitriptyline,0024.mp3
English,Where is the depression medicine,Amitriptyline,0025.mp3
Cantonese,抑鬱症藥喺邊,Amitriptyline,0026.mp3
English,I need help with antidepressants,Amitriptyline,0027.mp3
Cantonese,攞抑鬱症藥畀我,Amitriptyline,0028.mp3
English,What should I take for my condition,Empty,0029.mp3
Cantonese,我應該食咩藥,Empty,0030.mp3
English,Which medicine is right for me,Empty,0031.mp3
Cantonese,應該拎咩藥,Empty,0032.mp3
English,Can you find high blood pressure medicine,ACE Inhibitor,0033.mp3
Cantonese,幫我攞高血壓藥,ACE Inhibitor,0034.mp3
Cantonese,高血壓藥搵唔到,ACE Inhibitor,0035.mp3
English,I need ACE Inhibitors,ACE Inhibitor,0036.mp3
Cantonese,俾我血管緊張素轉換酶抑制藥,ACE Inhibitor,0037.mp3
English,Where are the hypertension pills,ACE Inhibitor,0038.mp3
Cantonese,幫手搵高血壓藥,ACE Inhibitor,0039.mp3
English,Please bring me Metformin for diabetes,Metformin,0040.mp3
Cantonese,甲福明喺邊,Metformin,0041.mp3
English,Can you grab the diabetes pills,Metformin,0042.mp3
Cantonese,幫我攞糖尿病藥,Metformin,0043.mp3
English,I am looking for Metformin,Metformin,0044.mp3
Cantonese,邊度可以拎到糖尿病藥,Metformin,0045.mp3
English,Diabetes medication is what I need,Metformin,0046.mp3
Cantonese,請攞甲福明,Metformin,0047.mp3
English,Get Atorvastatin for my CAD,Atorvastatin,0048.mp3
Cantonese,幫我搵冠脈病藥,Atorvastatin,0049.mp3
English,Fetch my heart disease medication,Atorvastatin,0050.mp3
Cantonese,攞心臟病藥畀我,Atorvastatin,0051.mp3
English,I need pills for coronary artery disease,Atorvastatinm,0052.mp3
Cantonese,心臟病藥喺邊,Atorvastatin,0053.mp3
English,Where can I find Atorvastatin,Atorvastatin,0054.mp3
Cantonese,我要阿伐他汀,Atorvastatin,0055.mp3
English,Bring me Amitriptyline for depression,Amitriptyline,0056.mp3
Cantonese,抗抑鬱藥係邊,Empty,0057.mp3
English,Can I have pills for depression,Amitriptyline,0058.mp3
Cantonese,攞抑鬱症藥俾我,Amitriptyline,0059.mp3
English,Where can I find antidepressants,Amitriptyline,0060.mp3
Cantonese,邊度有阿米替林,Amitriptyline,0061.mp3
English,What should I use for depression,Empty,0062.mp3
Cantonese,抗抑鬱藥拎唔拎得,Amitriptyline,0063.mp3
